Date,ChinaGold,ComexGold,Brent,BrentChinaGold,BrentComexGold,ChinaComexGold,¥÷¡£ªØ1,¥÷¡£ªØ2,¥÷¡£ªØ3
2008/1/9,-1.263780028,-2.131796284,0.375126904,,,,,,
2008/1/10,-1.471719697,-2.068823125,0.265989848,,,,,,
2008/1/11,-1.395966614,-2.046111493,0.207614213,,,,,,
2008/1/14,-1.34512562,-2.017721955,0.301522843,,,,,,
2008/1/15,-1.251069779,-2.020818995,0.203045685,,,,,,
2008/1/16,-1.452145914,-2.126118376,0.140609137,,,,,,
2008/1/17,-1.437402025,-2.131796284,0.089847716,,,,,,
2008/1/18,-1.482396306,-2.125086029,0.114213198,,,,,,
2008/1/22,-1.692878024,-2.079662767,0.074619289,,,,,,
2008/1/23,-1.538067195,-2.116311081,-0.018274112,,,,,,
2008/1/24,-1.431555311,-1.997591191,0.106091371,,,,,,
2008/1/25,-1.352751769,-1.971782519,0.198984772,,,,,,
2008/1/28,-1.339278905,-1.886097729,0.223350254,,,,,,
2008/1/29,-1.282591196,-1.896421198,0.254822335,,,,,,
2008/1/30,-1.34512562,-1.919649002,0.281725888,,,,,,
2008/1/31,-1.364190993,-1.90880936,0.265482234,,,,,,
2008/2/1,-1.379443291,-1.981073641,0.124873096,,,,,,
2008/2/4,-1.459517858,-2.000688231,0.17715736,,,,,,
2008/2/5,-1.468160827,-2.098761184,0.093401015,,,,,,
2008/2/13,-1.508071008,-1.992429456,0.321827411,0.58876885,0.411208933,0.436762316,r,r,r
2008/2/14,-1.446807609,-1.987783895,0.411675127,0.419560416,0.593178329,0.590808743,r,r,r
2008/2/15,-1.442994535,-2.011527873,0.388324873,0.388641446,0.585561678,0.582158009,r,r,r
2008/2/19,-1.388848875,-1.888678596,0.587817259,0.35093099,0.645674045,0.580261649,r,R,r
2008/2/20,-1.352497564,-1.847384721,0.58071066,0.367592628,0.720537535,0.604383276,r,R,R
2008/2/21,-1.256662289,-1.788024776,0.470050761,0.491562405,0.750741132,0.744230261,r,R,R
2008/2/22,-1.285387451,-1.795251204,0.509137056,0.536259974,0.781593807,0.785834388,r,R,R
2008/2/25,-1.200737194,-1.831899518,0.543654822,0.600030523,0.791031873,0.834721302,R,R,R
2008/2/26,-1.362157353,-1.788024776,0.634010152,0.564745896,0.814362549,0.814085769,r,R,R
2008/2/27,-1.228699742,-1.725567791,0.573096447,0.566501115,0.810987178,0.85531126,r,R,R
2008/2/28,-1.258695928,-1.693048864,0.706598985,0.522894348,0.809932906,0.828008425,r,R,R
2008/2/29,-1.209634369,-1.653819683,0.665989848,0.551999506,0.822403537,0.844779839,r,R,R
2008/3/3,-1.132864466,-1.605299381,0.685279188,0.620796156,0.831551498,0.887162583,R,R,R
2008/3/4,-1.164640088,-1.696145905,0.535025381,0.633717502,0.841651619,0.89561364,R,R,R
2008/3/5,-1.226920307,-1.581039229,0.744162437,0.692796568,0.867315702,0.895885155,R,R,R
2008/3/6,-1.145574715,-1.638850654,0.793401015,0.735480633,0.87874391,0.906796362,R,R,R
2008/3/7,-1.154980299,-1.65330351,0.781725888,0.760501451,0.889314307,0.9112564,R,R,R
2008/3/10,-1.215481083,-1.665175499,0.872081218,0.77651668,0.889504822,0.915039815,R,R,R
2008/3/11,-1.230733381,-1.642980041,0.927411168,0.724771114,0.875131394,0.902964251,R,R,R
2008/3/12,-1.23937635,-1.619236063,0.979187817,0.632605041,0.826800073,0.881012372,R,R,R
2008/3/13,-1.182942846,-1.54955265,1.043654822,0.55246957,0.81435094,0.85417441,r,R,R
2008/3/14,-1.147608355,-1.519098417,1.044162437,0.524921283,0.820370521,0.825885955,r,R,R
2008/3/17,-1.033470322,-1.502580867,0.749746193,0.36587603,0.744572253,0.789338955,r,R,R
2008/3/18,-1.154980299,-1.493289745,0.943147208,0.353696791,0.772840954,0.735556137,r,R,R
2008/3/19,-1.190060586,-1.795251204,0.697461929,0.295793664,0.751169789,0.634783583,U,R,R
2008/3/20,-1.48620938,-1.924810736,0.680203046,0.250941673,0.670511523,0.740561423,U,R,R
2008/3/24,-1.68296403,-1.931520991,0.653807107,0.253532687,0.634054047,0.778691476,U,R,R
2008/3/25,-1.597042749,-1.847384721,0.691370558,0.308377282,0.600456348,0.840054983,r,R,R
2008/3/26,-1.556115748,-1.773055747,0.863451777,0.206709276,0.544275098,0.825629665,U,r,R
2008/3/27,-1.517985002,-1.774088094,0.914720812,0.15955867,0.494511802,0.835115118,U,r,R
2008/3/28,-1.557132568,-1.868031659,0.852284264,0.130555916,0.445335508,0.852920372,U,r,R
2008/3/31,-1.627801551,-1.942360633,0.676142132,0.223422173,0.509644897,0.873029145,U,r,R
2008/4/1,-1.774223616,-2.114246387,0.669543147,0.342447574,0.581603264,0.897108788,r,r,R
2008/4/2,-1.87819345,-2.050757054,0.851269036,0.403823421,0.598045969,0.919637687,r,r,R
2008/4/3,-1.796339448,-2.000172058,0.788832487,0.428591247,0.63817043,0.92573465,r,R,R
2008/4/7,-1.719823751,-1.90880936,1.023350254,0.331745716,0.556728367,0.925008817,r,r,R
2008/4/8,-1.733805025,-1.953716449,0.982741117,0.291219161,0.506606096,0.929095877,U,r,R
2008/4/9,-1.770918951,-1.852546456,1.090862944,0.16666135,0.444845882,0.913631966,U,r,R
2008/4/10,-1.665423887,-1.879903648,1.07715736,0.091720073,0.381713829,0.909711075,U,r,R
2008/4/11,-1.740160149,-1.904163799,1.105076142,-0.016284284,0.298091253,0.902140364,U,U,R
2008/4/14,-1.718806931,-1.894872677,1.160406091,-0.155805055,0.183245424,0.888031927,U,U,R
2008/4/15,-1.63695293,-1.877838954,1.235025381,-0.271639784,0.070446743,0.864604708,U,U,R
2008/4/16,-1.677371521,-1.793186511,1.303553299,-0.220913956,0.254158605,0.775415489,U,U,R
2008/4/17,-1.585095115,-1.820543703,1.291878173,-0.241072119,0.37426661,0.621274836,U,r,R
2008/4/18,-1.598059569,-1.963007571,1.36751269,-0.017741028,0.35972722,0.608978556,U,r,R
2008/4/21,-1.741685379,-1.950103235,1.393401015,0.045315539,0.283284901,0.701720918,U,U,R
2008/4/22,-1.760242342,-1.910874054,1.470558376,-0.037518743,0.244956613,0.693266015,U,U,R
2008/4/23,-1.741685379,-1.993977977,1.496446701,-0.018010233,0.200903501,0.690503976,U,U,R
2008/4/24,-1.789984324,-2.094115623,1.388832487,-0.008631557,0.152814839,0.667612942,U,U,R
2008/4/25,-1.867516841,-2.092050929,1.49035533,-0.049531084,0.095416706,0.656302533,U,U,R
2008/4/28,-1.832436555,-1.937198899,1.510659898,-0.022720823,0.151859124,0.613221014,U,U,R
2008/4/29,-1.863703766,-2.159153476,1.342639594,0.06900652,0.089248517,0.689415032,U,U,R
2008/4/30,-1.919883066,-2.217997247,1.237563452,0.024795517,-0.103412721,0.771618783,U,U,R
2008/5/5,-1.981654874,-2.168960771,1.574111675,-0.282743408,-0.311325756,0.805840948,U,d,R
2008/5/6,-1.961064271,-2.149862354,1.691878173,-0.509357573,-0.493570033,0.827481096,d,d,R
2008/5/7,-1.979112825,-2.182897454,1.793908629,-0.601260846,-0.563664362,0.847828842,D,d,R
2008/5/8,-2.014955726,-2.126118376,1.820304569,-0.690484834,-0.612343633,0.845599566,D,D,R
2008/5/9,-1.92420455,-2.105987612,1.950253807,-0.714056705,-0.577240477,0.868215961,D,d,R
2008/5/12,-1.931068085,-2.110116999,1.823857868,-0.708571502,-0.558704675,0.863968469,D,d,R
2008/5/13,-1.954200737,-2.188575361,1.884263959,-0.731727141,-0.57238235,0.87073344,D,d,R
2008/5/14,-2.004533322,-2.204576738,1.770558376,-0.741876933,-0.563471743,0.876653953,D,d,R
2008/5/15,-1.996398763,-2.134377151,1.739593909,-0.722812947,-0.527554187,0.860927136,D,d,R
2008/5/16,-1.92725501,-2.031142464,1.929441624,-0.687747173,-0.403975948,0.836934524,D,d,R
2008/5/19,-1.799898318,-2.000172058,1.932994924,-0.552049318,-0.206162169,0.781413059,d,U,R
2008/5/20,-1.800152523,-1.92532691,2.074111675,-0.358217519,0.035391572,0.79492355,d,U,R
2008/5/21,-1.757954497,-1.881452168,2.320812183,-0.049392409,0.334841954,0.799306933,U,r,R
2008/5/22,-1.68347244,-1.933585685,2.20964467,0.202572686,0.526381271,0.797983305,U,r,R
2008/5/23,-1.761767572,-1.89384033,2.263451777,0.378192985,0.65124491,0.814512954,r,R,R
2008/5/27,-1.708638732,-1.986235375,2.097969543,0.5256637,0.685862181,0.836076298,r,R,R
2008/5/28,-1.811591747,-2.023399862,2.230964467,0.57074592,0.693799047,0.839657068,r,R,R
2008/5/29,-1.889124264,-2.143668273,2.025888325,0.623638611,0.802926067,0.840260245,R,R,R
